service_code,origin_iso2,dest_iso2,min_weight_kg,max_weight_kg,band_type,price,price_per_kg,min_charge,zone_label
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,9.0,9.0,FIXED,69.17349637336362,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,10.0,10.0,FIXED,73.85516465645455,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,11.0,11.0,FIXED,78.53683293954548,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,12.0,12.0,FIXED,83.22751443981818,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,13.0,13.0,FIXED,87.9091827229091,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,14.0,14.0,FIXED,92.59986422318184,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,15.0,15.0,FIXED,97.29955894063637,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,16.0,16.0,FIXED,101.99925365809091,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,17.0,17.0,FIXED,106.69894837554546,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,18.0,18.0,FIXED,111.41666952736365,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,19.0,19.0,FIXED,116.14340389636365,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,20.0,20.0,FIXED,120.87915148254547,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,0.1,0.1,FIXED,7.17711857292173,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,0.2,0.2,FIXED,8.79778499184912,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,0.3,0.3,FIXED,10.42746462795833,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,0.4,0.4,FIXED,12.048131046885718,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,0.5,0.5,FIXED,13.66879746581311,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,0.6,0.6,FIXED,15.289463884740503,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,0.7,0.7,FIXED,16.91013030366789,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,0.8,0.8,FIXED,18.530796722595284,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,0.9,0.9,FIXED,20.151463141522676,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.0,1.0,FIXED,21.781142777631885,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.1,1.1,FIXED,23.401809196559274,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.2,1.2,FIXED,25.022475615486666,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.3,1.3,FIXED,26.64314203441406,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.4,1.4,FIXED,28.263808453341447,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.5,1.5,FIXED,29.88447487226884,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.6,1.6,FIXED,31.505141291196235,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.7,1.7,FIXED,33.125807710123624,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.8,1.8,FIXED,34.74647412905101,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,1.9,1.9,FIXED,36.36714054797841,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,2.0,2.0,FIXED,37.987806966905794,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,2.5,2.5,FIXED,38.66153357863637,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,3.0,3.0,FIXED,41.02039415454546,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,3.5,3.5,FIXED,43.37024151327273,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,4.0,4.0,FIXED,45.72008887199999,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,4.5,4.5,FIXED,48.06993623072727,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,5.0,5.0,FIXED,50.419783589454546,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,6.0,6.0,FIXED,55.110465089727285,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,7.0,7.0,FIXED,59.80114659,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,8.0,8.0,FIXED,64.49182809027273,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,9.0,9.0,FIXED,69.17349637336362,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,10.0,10.0,FIXED,73.85516465645455,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,11.0,11.0,FIXED,78.53683293954548,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,12.0,12.0,FIXED,83.22751443981818,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,13.0,13.0,FIXED,87.9091827229091,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,14.0,14.0,FIXED,92.59986422318184,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,15.0,15.0,FIXED,97.29955894063637,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,16.0,16.0,FIXED,101.99925365809091,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,17.0,17.0,FIXED,106.69894837554546,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,18.0,18.0,FIXED,111.41666952736365,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,19.0,19.0,FIXED,116.14340389636365,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AM,20.0,20.0,FIXED,120.87915148254547,,,AM
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,0.1,0.1,FIXED,7.509728012061493,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,0.2,0.2,FIXED,9.307460540445703,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,0.3,0.3,FIXED,11.114206286011731,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,0.4,0.4,FIXED,12.91193881439594,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,0.5,0.5,FIXED,14.709671342780148,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,0.6,0.6,FIXED,16.50740387116436,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,0.7,0.7,FIXED,18.305136399548562,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,0.8,0.8,FIXED,20.10286892793278,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,0.9,0.9,FIXED,21.900601456316984,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.0,1.0,FIXED,23.707347201883014,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.1,1.1,FIXED,25.505079730267223,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.2,1.2,FIXED,27.302812258651436,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.3,1.3,FIXED,29.100544787035645,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.4,1.4,FIXED,30.89827731541985,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.5,1.5,FIXED,32.696009843804056,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.6,1.6,FIXED,34.49374237218827,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.7,1.7,FIXED,36.291474900572474,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.8,1.8,FIXED,38.08920742895668,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,1.9,1.9,FIXED,39.886939957340886,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,2.0,2.0,FIXED,41.68467248572511,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,2.5,2.5,FIXED,41.95739975845238,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,3.0,3.0,FIXED,42.230127031179656,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,3.5,3.5,FIXED,43.37024151327273,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,4.0,4.0,FIXED,45.72008887199999,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,4.5,4.5,FIXED,48.06993623072727,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,5.0,5.0,FIXED,50.419783589454546,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,6.0,6.0,FIXED,55.110465089727285,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,7.0,7.0,FIXED,59.80114659,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,8.0,8.0,FIXED,64.49182809027273,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,9.0,9.0,FIXED,69.17349637336362,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,10.0,10.0,FIXED,73.85516465645455,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,11.0,11.0,FIXED,78.53683293954548,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,12.0,12.0,FIXED,83.22751443981818,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,13.0,13.0,FIXED,87.9091827229091,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,14.0,14.0,FIXED,92.59986422318184,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,15.0,15.0,FIXED,97.29955894063637,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,16.0,16.0,FIXED,101.99925365809091,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,17.0,17.0,FIXED,106.69894837554546,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,18.0,18.0,FIXED,111.41666952736365,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,19.0,19.0,FIXED,116.14340389636365,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AO,20.0,20.0,FIXED,120.87915148254547,,,AO
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,0.1,0.1,FIXED,8.556410999283935,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,0.2,0.2,FIXED,9.905819874752606,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,0.3,0.3,FIXED,11.264241967403093,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,0.4,0.4,FIXED,12.613650842871763,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,0.5,0.5,FIXED,13.963059718340434,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,0.6,0.6,FIXED,15.312468593809102,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,0.7,0.7,FIXED,16.66187746927777,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,0.8,0.8,FIXED,18.01128634474644,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,0.9,0.9,FIXED,19.360695220215113,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.0,1.0,FIXED,20.719117312865606,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.1,1.1,FIXED,22.068526188334275,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.2,1.2,FIXED,23.417935063802943,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.3,1.3,FIXED,24.767343939271615,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.4,1.4,FIXED,26.116752814740273,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.5,1.5,FIXED,27.466161690208953,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.6,1.6,FIXED,28.815570565677625,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.7,1.7,FIXED,30.164979441146286,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.8,1.8,FIXED,31.514388316614962,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,1.9,1.9,FIXED,32.86379719208363,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,2.0,2.0,FIXED,34.2132060675523,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,2.5,2.5,FIXED,38.66153357863637,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,3.0,3.0,FIXED,41.02039415454546,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,3.5,3.5,FIXED,43.37024151327273,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,4.0,4.0,FIXED,45.72008887199999,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,4.5,4.5,FIXED,48.06993623072727,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,5.0,5.0,FIXED,50.419783589454546,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,6.0,6.0,FIXED,55.110465089727285,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,7.0,7.0,FIXED,59.80114659,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,8.0,8.0,FIXED,64.49182809027273,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,9.0,9.0,FIXED,69.17349637336362,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,10.0,10.0,FIXED,73.85516465645455,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,11.0,11.0,FIXED,78.53683293954548,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,12.0,12.0,FIXED,83.22751443981818,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,13.0,13.0,FIXED,87.9091827229091,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,14.0,14.0,FIXED,92.59986422318184,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,15.0,15.0,FIXED,97.29955894063637,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,16.0,16.0,FIXED,101.99925365809091,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,17.0,17.0,FIXED,106.69894837554546,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,18.0,18.0,FIXED,111.41666952736365,,,AR
