scope_id,country_iso2
225,PY
225,SR
225,SV
225,SX
225,UY
225,VE
225,VG
225,ZA
226,AI
226,AR
226,AW
226,BB
226,BM
226,BO
226,BR
226,BZ
226,CL
226,CO
226,CR
226,DM
226,DO
226,EC
226,GD
226,GF
226,GP
226,GT
226,GY
226,HN
226,HT
226,JM
226,KY
226,LC
226,MF
226,MQ
226,MX
226,NI
226,PA
226,PE
226,SR
226,SV
226,SX
226,UY
226,VE
226,VG
226,ZA
227,AI
227,AR
227,AW
227,BB
227,BM
227,BO
227,BR
227,BZ
227,CL
227,CO
227,CR
227,DM
227,DO
227,EC
227,GD
227,GF
227,GP
227,GT
227,GY
227,HN
227,HT
227,JM
227,KY
227,LC
227,MF
227,MQ
227,MX
227,NI
227,PA
227,PE
227,PY
227,SR
227,SV
227,SX
227,UY
227,VE
227,VG
227,ZA
228,AI
228,AR
228,AW
228,BB
228,BM
228,BO
228,BR
228,BZ
228,CL
228,CO
228,CR
228,DM
228,DO
228,EC
228,GD
228,GF
228,GP
228,GT
228,GY
228,HN
228,HT
228,JM
228,KY
228,LC
228,MF
228,MQ
228,MX
228,NI
228,PA
228,PE
228,SR
228,SV
228,SX
228,UY
228,VE
228,VG
228,ZA
229,AU
229,NZ
230,AU
230,NZ
231,AU
231,NZ
232,AU
232,NZ
233,AU
233,NZ
234,AT
234,DK
234,FI
234,IE
234,PL
234,PT
234,SE
235,AT
235,DK
235,FI
235,IE
235,PL
235,PT
235,SE
236,AT
236,DK
236,FI
236,IE
236,PL
236,PT
236,SE
237,AT
237,DK
237,FI
237,IE
237,PL
237,PT
237,SE
238,AT
238,DK
238,FI
238,IE
238,PL
238,PT
238,SE
239,BE
239,DE
239,LU
239,NL
240,BE
240,DE
240,LU
240,NL
241,BE
241,DE
241,LU
241,NL
242,BE
242,DE
242,LU
242,NL
243,BE
243,DE
243,LU
243,NL
244,BG
244,CH
244,CZ
244,EE
244,GR
244,HR
244,HU
244,LT
244,LV
244,RO
244,SI
244,SK
245,BG
245,CH
245,CZ
245,EE
245,GR
245,HR
245,HU
245,LT
245,LV
245,RO
245,SI
245,SK
246,BG
246,CH
246,CZ
246,EE
246,GR
246,HR
246,HU
246,LT
246,LV
246,RO
246,SI
246,SK
247,BG
247,CH
247,CZ
247,EE
247,GR
247,HR
247,HU
247,LT
247,LV
247,RO
247,SI
247,SK
248,BG
248,CH
248,CZ
248,EE
248,GR
248,HR
248,HU
248,LT
248,LV
248,RO
248,SI
248,SK
249,ID
249,KH
249,KR
249,LA
249,MY
249,TH
249,TW
249,VN
250,ID
250,KH
250,KR
250,LA
250,MY
250,TH
250,TW
250,VN
251,ID
251,KH
251,KR
251,LA
251,MY
251,TH
251,TW
251,VN
252,ID
252,KH
252,KR
252,LA
252,MY
252,TH
252,TW
252,VN
253,ID
253,KH
253,KR
253,LA
253,MY
253,TH
253,TW
253,VN
254,CA
255,CA
256,CA
257,CA
258,CA
259,CN
260,CN
261,CN
262,CN
263,CN
264,GI
265,GI
266,ES
266,IT
267,ES
267,IT
268,JP
268,SG
269,JP
269,SG
270,JP
270,SG
271,JP
271,SG
272,JP
272,SG
273,LI
273,NO
274,LI
274,NO
275,LI
276,LI
276,NO
277,LI
278,NO
278,RS
278,TR
279,NO
279,RS
279,TR
